age,workclass,education,marital-status,occupation,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,years_experience,skills,salary_in_inr
33,State-gov,PhD,Divorced,AI Engineer,Amer-Indian-Eskimo,Male,306,1601,43,China,<=50K,8,"NLP, TensorFlow, Python",1338016
36,Private,Associate,Divorced,Data Analyst,White,Other,4715,1491,52,Australia,>50K,18,"Tableau, Power BI, Python",1109464
52,Local-gov,Bachelors,Divorced,Web Developer,Asian-Pac-Islander,Female,7280,310,44,China,>50K,17,"CSS, React, Node.js",994451
24,State-gov,Some-college,Never-married,Business Analyst,Other,Female,1361,425,53,Australia,<=50K,9,"Power BI, Presentation, Problem Solving",977835
23,Self-emp-not-inc,Some-college,Widowed,Data Scientist,Other,Female,9255,883,43,India,>50K,9,"Statistics, Machine Learning, Python",1300673
56,Self-emp-not-inc,HS-grad,Widowed,ML Engineer,White,Female,3576,432,33,Australia,<=50K,5,"Pandas, MLflow, Scikit-learn",1085675
48,Local-gov,PhD,Divorced,Web Developer,White,Other,5206,1028,47,Australia,<=50K,12,"React, Node.js, CSS",896724
32,Self-emp-not-inc,HS-grad,Divorced,AI Engineer,Other,Female,7602,1343,35,China,>50K,12,"Deep Learning, NLP, PyTorch",1481328
34,State-gov,Bachelors,Widowed,Data Analyst,Black,Other,8247,164,49,Australia,>50K,0,"Power BI, Excel, SQL",700000
52,State-gov,Bachelors,Divorced,AI Engineer,Other,Other,6378,1130,46,United States,>50K,5,"NLP, TensorFlow, Deep Learning",1289205
33,Federal-gov,Associate,Married-civ-spouse,Web Developer,Black,Female,1061,1831,30,United States,>50K,14,"CSS, React, HTML",821130
51,Local-gov,Associate,Never-married,Web Developer,Black,Male,7572,1478,60,India,<=50K,1,"React, Node.js, CSS",612305
48,Self-emp-inc,Associate,Widowed,ML Engineer,Other,Other,8751,1463,30,Germany,>50K,1,"XGBoost, Pandas, MLflow",1011307
45,Federal-gov,Associate,Widowed,Business Analyst,Amer-Indian-Eskimo,Male,1697,298,57,Canada,>50K,18,"Excel, SQL, Presentation",1173522
43,Self-emp-not-inc,Masters,Separated,Data Analyst,Asian-Pac-Islander,Male,5407,1314,52,India,>50K,15,"Excel, Power BI, Python",995140
50,Self-emp-inc,HS-grad,Divorced,Software Developer,Other,Male,2294,303,46,Canada,<=50K,11,"Git, Python, Spring",1014962
41,State-gov,Masters,Widowed,Software Developer,Amer-Indian-Eskimo,Other,7206,1378,39,United States,>50K,4,"C++, Python, Git",873724
36,Private,Masters,Widowed,Software Developer,Black,Other,197,531,41,China,>50K,16,"Spring, Git, Python",1049328
44,State-gov,Masters,Widowed,Web Developer,Other,Female,6192,1772,59,Germany,>50K,16,"React, CSS, Node.js",959152
22,State-gov,Bachelors,Divorced,Data Analyst,Asian-Pac-Islander,Male,3675,307,38,Australia,>50K,3,"Excel, Power BI, Python",775153
58,State-gov,Bachelors,Widowed,Data Analyst,Black,Female,538,816,50,India,>50K,16,"SQL, Power BI, Tableau",1140352
56,Private,Bachelors,Separated,Data Analyst,Black,Female,2993,1412,59,China,>50K,7,"Tableau, Excel, SQL",909720
39,Local-gov,PhD,Never-married,Data Analyst,White,Male,8561,620,31,United States,<=50K,18,"Python, Tableau, Excel",937960
56,Private,PhD,Never-married,Data Analyst,Amer-Indian-Eskimo,Male,7240,170,45,United States,<=50K,18,"Excel, Tableau, Python",1215790
22,Local-gov,HS-grad,Never-married,Business Analyst,Black,Other,7475,1,38,Germany,>50K,15,"SQL, Power BI, Presentation",1137540
54,Self-emp-inc,Associate,Divorced,Software Developer,Other,Male,5589,563,51,Australia,>50K,20,"Spring, Java, Git",1319540
22,Self-emp-inc,Some-college,Separated,Business Analyst,Black,Male,1074,1557,43,China,<=50K,14,"Power BI, SQL, Excel",939868
36,Self-emp-not-inc,PhD,Widowed,Software Developer,Asian-Pac-Islander,Other,7731,210,51,Canada,>50K,6,"Git, C++, Spring",890744
34,Federal-gov,Masters,Married-civ-spouse,Data Scientist,Asian-Pac-Islander,Other,7762,1338,49,Germany,>50K,8,"R, SQL, Statistics",1259584
45,Self-emp-not-inc,PhD,Divorced,Web Developer,Asian-Pac-Islander,Female,5046,871,48,Germany,>50K,0,"React, HTML, CSS",600000
30,Federal-gov,PhD,Never-married,Data Analyst,Black,Other,4193,603,56,Canada,<=50K,13,"Tableau, Power BI, Python",1068537
34,Self-emp-not-inc,Some-college,Widowed,Business Analyst,Asian-Pac-Islander,Male,1219,497,35,Canada,>50K,18,"Presentation, Excel, Power BI",1160058
53,Self-emp-not-inc,PhD,Widowed,System Admin,White,Male,919,1309,40,Canada,>50K,14,"Shell Scripting, Linux, Networking",751600
26,Self-emp-inc,Associate,Separated,Data Scientist,Black,Other,4896,1175,36,Australia,<=50K,7,"SQL, Statistics, Machine Learning",1291800
40,State-gov,Bachelors,Married-civ-spouse,ML Engineer,Asian-Pac-Islander,Female,7304,1530,58,United States,<=50K,14,"Scikit-learn, Pandas, MLflow",1292768
34,State-gov,Associate,Divorced,Software Developer,Other,Other,379,287,33,China,>50K,12,"Spring, Java, Python",943700
54,Self-emp-inc,Bachelors,Widowed,System Admin,White,Other,5358,1618,47,Germany,<=50K,10,"Linux, Docker, Shell Scripting",680190
57,Private,Some-college,Married-civ-spouse,ML Engineer,Other,Female,9994,1331,36,India,>50K,13,"XGBoost, Pandas, Scikit-learn",1194831
43,Private,Masters,Widowed,Web Developer,Amer-Indian-Eskimo,Other,7084,1821,30,Germany,>50K,0,"Node.js, React, HTML",600000
36,Self-emp-inc,HS-grad,Married-civ-spouse,Software Developer,Black,Other,5351,1090,44,China,>50K,18,"Python, C++, Java",1067444
35,Self-emp-inc,Masters,Never-married,AI Engineer,Other,Other,646,1596,34,Australia,<=50K,2,"TensorFlow, Deep Learning, Python",1233684
34,Self-emp-inc,Masters,Separated,Software Developer,Black,Male,5821,55,34,Germany,<=50K,12,"Java, Spring, Python",1002008
46,Private,HS-grad,Separated,System Admin,Black,Male,6234,1208,56,India,<=50K,5,"Docker, Linux, AWS",634345
29,Federal-gov,Associate,Widowed,Web Developer,Asian-Pac-Islander,Female,3129,430,32,Australia,<=50K,8,"Node.js, HTML, CSS",684232
22,Federal-gov,HS-grad,Separated,ML Engineer,Asian-Pac-Islander,Female,5078,1713,32,Germany,>50K,20,"XGBoost, Scikit-learn, MLflow",1255340
46,Federal-gov,Bachelors,Divorced,Web Developer,White,Male,4079,363,48,India,<=50K,4,"CSS, React, HTML",648016
60,Self-emp-not-inc,Associate,Divorced,Web Developer,Other,Female,2580,858,35,United States,>50K,4,"CSS, JavaScript, HTML",661280
23,Federal-gov,Masters,Divorced,System Admin,Asian-Pac-Islander,Female,5260,58,55,India,<=50K,15,"Linux, Networking, AWS",722845
56,Federal-gov,Some-college,Widowed,Data Scientist,Black,Male,244,714,58,United States,<=50K,2,"Python, Machine Learning, R",1147202
56,Federal-gov,Masters,Widowed,AI Engineer,Asian-Pac-Islander,Female,7692,1842,58,Canada,<=50K,17,"TensorFlow, Python, PyTorch",1644516
58,Self-emp-not-inc,Masters,Married-civ-spouse,Data Scientist,Black,Male,1346,1522,33,China,>50K,19,"Python, R, Statistics",1446047
33,State-gov,Associate,Divorced,Web Developer,Amer-Indian-Eskimo,Other,9679,1064,46,Australia,>50K,8,"CSS, JavaScript, Node.js",778240
31,Local-gov,Associate,Never-married,System Admin,White,Male,2984,29,34,China,<=50K,7,"Networking, AWS, Docker",622681
58,Federal-gov,HS-grad,Divorced,Data Analyst,Other,Female,7407,439,44,Australia,<=50K,14,"SQL, Power BI, Tableau",1076012
43,Self-emp-inc,Masters,Divorced,Web Developer,Amer-Indian-Eskimo,Other,7476,1358,33,China,>50K,16,"JavaScript, HTML, CSS",983616
23,Local-gov,Masters,Never-married,Data Analyst,Amer-Indian-Eskimo,Male,1970,1127,52,Canada,<=50K,11,"Power BI, Tableau, Excel",1009430
27,Local-gov,Masters,Separated,Data Analyst,Black,Other,3634,1589,30,United States,>50K,11,"Python, Excel, Power BI",1001235
55,Private,Some-college,Divorced,Data Analyst,Other,Male,6135,325,33,China,<=50K,20,"Python, Excel, Power BI",999640
56,Local-gov,HS-grad,Married-civ-spouse,Software Developer,White,Female,4857,798,58,Australia,>50K,15,"Spring, Python, Java",1097450
22,Private,PhD,Widowed,Software Developer,Black,Other,9731,1964,32,India,>50K,4,"C++, Spring, Java",871780
47,Self-emp-not-inc,Associate,Separated,System Admin,Other,Male,4072,1708,41,India,<=50K,8,"Networking, AWS, Linux",783592
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Software Developer,Asian-Pac-Islander,Male,1921,1066,39,Australia,<=50K,20,"Git, Spring, Java",1287220
41,Private,Some-college,Widowed,Business Analyst,Black,Male,5593,1792,38,India,<=50K,8,"Excel, Presentation, SQL",983344
32,State-gov,Associate,Separated,Software Developer,Black,Other,1688,181,53,Australia,>50K,11,"C++, Spring, Python",1065881
48,Private,Associate,Never-married,Software Developer,Asian-Pac-Islander,Female,8320,673,43,China,>50K,11,"Java, Git, Spring",1085010
37,Local-gov,HS-grad,Married-civ-spouse,System Admin,Asian-Pac-Islander,Male,7993,1148,49,Australia,<=50K,16,"AWS, Linux, Shell Scripting",766512
59,State-gov,Bachelors,Widowed,ML Engineer,White,Male,5909,1188,51,China,>50K,13,"Pandas, Python, Scikit-learn",1317525
51,Local-gov,Some-college,Never-married,System Admin,Amer-Indian-Eskimo,Other,420,442,48,United States,<=50K,10,"Linux, Shell Scripting, Networking",659290
51,Self-emp-inc,PhD,Divorced,Web Developer,Black,Female,7307,1605,31,Canada,>50K,20,"JavaScript, CSS, HTML",1166000
57,State-gov,PhD,Separated,Web Developer,Black,Female,1456,683,41,Australia,>50K,7,"JavaScript, Node.js, HTML",690741
47,Self-emp-inc,Some-college,Separated,Data Scientist,Amer-Indian-Eskimo,Male,4336,1753,52,Germany,<=50K,14,"SQL, R, Python",1388064
23,Private,Masters,Widowed,Software Developer,Other,Other,9182,606,54,Australia,>50K,12,"Git, Java, Spring",956708
27,State-gov,Some-college,Separated,Software Developer,Black,Other,5573,1091,41,Germany,<=50K,12,"Java, Python, Spring",1144172
27,Self-emp-inc,Masters,Separated,AI Engineer,Black,Other,2539,1367,38,India,>50K,7,"PyTorch, Deep Learning, NLP",1319532
31,Private,PhD,Married-civ-spouse,AI Engineer,Other,Female,7191,848,47,Australia,>50K,6,"NLP, PyTorch, TensorFlow",1374204
47,State-gov,Some-college,Separated,Software Developer,Asian-Pac-Islander,Female,7066,758,41,United States,<=50K,11,"Java, C++, Spring",998990
56,Local-gov,Masters,Never-married,Business Analyst,Other,Female,1717,1653,56,Australia,<=50K,11,"Problem Solving, SQL, Presentation",956998
58,Private,HS-grad,Widowed,Business Analyst,Amer-Indian-Eskimo,Other,7146,132,60,United States,<=50K,14,"Problem Solving, Excel, SQL",1108652
31,Private,Associate,Divorced,ML Engineer,Asian-Pac-Islander,Other,4128,1940,58,China,<=50K,19,"Pandas, MLflow, XGBoost",1273011
47,Self-emp-not-inc,Associate,Separated,Software Developer,Other,Other,4991,676,37,Australia,>50K,16,"Spring, C++, Python",1267680
42,Private,Some-college,Never-married,Web Developer,Other,Male,1163,1257,32,Australia,>50K,5,"CSS, Node.js, JavaScript",679380
33,Private,Associate,Separated,ML Engineer,Asian-Pac-Islander,Male,1542,1937,42,Australia,>50K,12,"Pandas, MLflow, XGBoost",1306540
30,Self-emp-inc,Masters,Never-married,Software Developer,Asian-Pac-Islander,Male,7051,1800,38,Germany,<=50K,8,"Spring, C++, Java",972064
27,Self-emp-inc,HS-grad,Never-married,Software Developer,White,Other,997,1140,31,China,<=50K,5,"Java, Git, Spring",903550
46,Self-emp-inc,Bachelors,Widowed,Web Developer,White,Male,3088,1303,49,Germany,<=50K,6,"JavaScript, HTML, Node.js",690408
60,Self-emp-inc,Some-college,Married-civ-spouse,Business Analyst,Black,Other,2438,1667,56,Germany,<=50K,1,"Problem Solving, Excel, SQL",769549
28,Self-emp-inc,Associate,Married-civ-spouse,Data Scientist,White,Female,3164,1235,34,Australia,>50K,14,"Statistics, Machine Learning, R",1293382
57,Private,PhD,Married-civ-spouse,Web Developer,Black,Male,8040,385,55,Germany,<=50K,1,"React, HTML, JavaScript",612980
42,Local-gov,Some-college,Widowed,System Admin,Other,Other,3292,578,40,United States,>50K,6,"Shell Scripting, AWS, Networking",695548
46,Private,HS-grad,Never-married,Business Analyst,White,Female,9195,991,49,Germany,<=50K,9,"Excel, Problem Solving, Presentation",866298
41,Local-gov,Associate,Widowed,Data Scientist,Asian-Pac-Islander,Other,785,1094,30,India,>50K,12,"R, SQL, Machine Learning",1240616
49,State-gov,Some-college,Widowed,Data Scientist,Other,Female,732,1865,36,India,>50K,5,"R, SQL, Python",1183355
53,Self-emp-not-inc,Some-college,Widowed,AI Engineer,White,Female,3375,1843,52,India,>50K,0,"PyTorch, TensorFlow, Python",1200000
36,Self-emp-inc,HS-grad,Never-married,Data Scientist,Black,Other,4033,1273,51,Canada,>50K,13,"Statistics, SQL, Python",1346129
48,State-gov,Bachelors,Separated,System Admin,Amer-Indian-Eskimo,Female,3104,1672,54,Germany,<=50K,0,"AWS, Linux, Shell Scripting",550000
30,State-gov,Associate,Married-civ-spouse,ML Engineer,White,Male,2603,1847,55,Germany,<=50K,17,"XGBoost, Scikit-learn, MLflow",1312868
47,Self-emp-inc,Some-college,Divorced,Software Developer,Other,Female,1777,1558,33,Germany,>50K,6,"Java, Spring, Git",884990
55,Private,HS-grad,Separated,ML Engineer,White,Male,623,1706,42,United States,<=50K,2,"Scikit-learn, Pandas, XGBoost",1044306
50,State-gov,Masters,Separated,AI Engineer,Other,Male,3447,1484,40,India,>50K,4,"TensorFlow, Deep Learning, Python",1285888
51,Self-emp-not-inc,Associate,Never-married,System Admin,Amer-Indian-Eskimo,Male,4780,1035,32,United States,<=50K,6,"Shell Scripting, AWS, Linux",696610
26,Self-emp-not-inc,Some-college,Widowed,Software Developer,Other,Male,2348,1120,60,Canada,<=50K,2,"Spring, Java, Python",831134
42,Self-emp-inc,Bachelors,Married-civ-spouse,ML Engineer,Black,Male,6245,7,48,India,>50K,18,"Python, Scikit-learn, XGBoost",1200754
58,Local-gov,Bachelors,Never-married,Business Analyst,Other,Other,6325,578,51,Australia,<=50K,7,"Presentation, Power BI, SQL",924356
52,Self-emp-not-inc,HS-grad,Widowed,Web Developer,Black,Male,4699,1304,53,United States,>50K,12,"JavaScript, CSS, React",728232
49,Self-emp-inc,Masters,Never-married,Business Analyst,Amer-Indian-Eskimo,Other,8871,1744,37,Germany,<=50K,20,"Power BI, SQL, Presentation",1225980
48,Federal-gov,Associate,Separated,Business Analyst,Amer-Indian-Eskimo,Female,5956,691,40,China,<=50K,16,"SQL, Problem Solving, Excel",1010112
58,Self-emp-not-inc,Associate,Widowed,Web Developer,Amer-Indian-Eskimo,Other,6688,767,50,Canada,<=50K,4,"React, HTML, JavaScript",699284
41,Local-gov,HS-grad,Never-married,Data Analyst,Black,Female,9038,1822,35,China,<=50K,16,"Tableau, Excel, Python",872496
35,Federal-gov,Some-college,Married-civ-spouse,Software Developer,Other,Male,6584,1177,55,United States,<=50K,10,"Spring, C++, Python",942780
53,Self-emp-inc,Some-college,Widowed,AI Engineer,White,Male,1404,43,30,India,<=50K,2,"TensorFlow, Deep Learning, Python",1229868
35,Self-emp-inc,Bachelors,Divorced,Web Developer,Other,Female,7783,693,52,United States,<=50K,3,"Node.js, CSS, HTML",646047
48,Private,Some-college,Widowed,System Admin,Black,Other,9049,1287,45,China,>50K,7,"Linux, Networking, AWS",642260
24,Self-emp-not-inc,HS-grad,Separated,System Admin,Amer-Indian-Eskimo,Male,326,1200,52,Canada,>50K,18,"Docker, Networking, AWS",741700
53,State-gov,Some-college,Divorced,Web Developer,White,Female,1128,362,34,Australia,<=50K,12,"CSS, HTML, JavaScript",797508
42,Self-emp-inc,Associate,Never-married,Web Developer,Other,Female,261,1273,58,Australia,>50K,5,"JavaScript, Node.js, HTML",734115
39,Local-gov,Bachelors,Separated,Web Developer,Black,Male,3912,1434,39,Canada,>50K,13,"JavaScript, HTML, CSS",925130
27,Self-emp-inc,Some-college,Never-married,Data Scientist,Other,Male,9398,39,39,Germany,<=50K,15,"Machine Learning, Statistics, Python",1382840
46,Self-emp-inc,PhD,Widowed,System Admin,Amer-Indian-Eskimo,Other,5605,271,60,Canada,>50K,17,"Networking, AWS, Docker",868546
27,Federal-gov,Associate,Never-married,Web Developer,Other,Male,376,1660,34,India,<=50K,5,"JavaScript, HTML, React",743700
37,Private,Bachelors,Never-married,AI Engineer,Asian-Pac-Islander,Other,1153,319,48,China,>50K,14,"TensorFlow, Python, Deep Learning",1395944
25,State-gov,Masters,Married-civ-spouse,ML Engineer,Black,Male,1500,7,43,China,<=50K,1,"Python, Pandas, Scikit-learn",1027345
34,Federal-gov,Masters,Separated,Data Scientist,Amer-Indian-Eskimo,Female,9696,1771,57,India,>50K,16,"Python, Statistics, Machine Learning",1363648
38,Self-emp-not-inc,Some-college,Widowed,Data Analyst,White,Other,1241,385,35,Canada,>50K,7,"Excel, Tableau, Power BI",905856
40,Local-gov,HS-grad,Widowed,Software Developer,Black,Female,4111,1688,41,China,<=50K,0,"Python, Git, Java",800000
25,Private,HS-grad,Divorced,AI Engineer,Other,Female,1309,1380,54,China,>50K,2,"TensorFlow, Deep Learning, NLP",1259682
26,Local-gov,PhD,Divorced,Business Analyst,Asian-Pac-Islander,Other,7871,758,45,Canada,>50K,10,"Problem Solving, SQL, Excel",1042420
32,Private,Associate,Divorced,System Admin,Amer-Indian-Eskimo,Female,5314,1891,55,Germany,>50K,14,"AWS, Networking, Linux",866876
48,Private,Masters,Divorced,System Admin,Black,Female,5991,28,43,China,>50K,4,"Docker, Networking, Linux",602428
23,Federal-gov,HS-grad,Married-civ-spouse,Software Developer,Asian-Pac-Islander,Male,355,1018,42,United States,<=50K,17,"Python, C++, Java",1241014
60,State-gov,HS-grad,Separated,System Admin,Black,Female,979,723,60,India,<=50K,10,"AWS, Shell Scripting, Linux",727050
55,Federal-gov,Masters,Separated,Business Analyst,White,Female,2598,693,50,Canada,>50K,13,"Problem Solving, Excel, Power BI",935133
55,Self-emp-inc,PhD,Divorced,Data Scientist,Asian-Pac-Islander,Other,7758,129,30,Germany,<=50K,7,"R, SQL, Machine Learning",1223543
42,State-gov,HS-grad,Divorced,Web Developer,Other,Female,3184,1847,34,Canada,>50K,18,"CSS, Node.js, HTML",1068180
58,Federal-gov,Bachelors,Divorced,ML Engineer,Amer-Indian-Eskimo,Male,5269,166,46,Germany,>50K,8,"Python, Pandas, Scikit-learn",1130640
39,State-gov,Masters,Divorced,AI Engineer,Amer-Indian-Eskimo,Male,3659,1296,30,Canada,<=50K,19,"NLP, PyTorch, Deep Learning",1589234
53,Self-emp-inc,Some-college,Widowed,Data Analyst,Black,Other,9913,246,39,China,<=50K,6,"Python, Power BI, SQL",833926
49,State-gov,Bachelors,Divorced,Software Developer,Black,Male,4851,51,30,China,>50K,13,"Java, Python, C++",992881
50,State-gov,HS-grad,Widowed,Data Scientist,Other,Female,5146,220,59,Canada,>50K,6,"Statistics, Machine Learning, R",1192022
59,Self-emp-not-inc,PhD,Never-married,ML Engineer,White,Female,9053,977,41,United States,<=50K,12,"MLflow, Python, XGBoost",1290748
42,Federal-gov,Masters,Divorced,AI Engineer,Asian-Pac-Islander,Female,9267,1549,48,India,>50K,1,"PyTorch, NLP, Python",1212224
30,Self-emp-not-inc,Bachelors,Widowed,Data Scientist,Black,Male,5903,1991,41,Canada,<=50K,10,"Python, Machine Learning, R",1378620
25,Local-gov,HS-grad,Separated,Data Scientist,Other,Male,3395,918,35,India,>50K,8,"R, Statistics, Python",1326192
23,Private,Associate,Married-civ-spouse,Business Analyst,White,Male,3588,1553,37,United States,>50K,4,"Problem Solving, Power BI, SQL",840792
47,Private,Some-college,Divorced,Business Analyst,White,Other,6798,1126,32,India,<=50K,1,"SQL, Problem Solving, Power BI",776104
22,Self-emp-inc,Associate,Never-married,Web Developer,Other,Male,6507,435,34,Australia,<=50K,20,"Node.js, JavaScript, CSS",1164540
45,Local-gov,HS-grad,Married-civ-spouse,Data Analyst,Other,Female,5480,400,40,Canada,<=50K,20,"Power BI, Tableau, SQL",1191980
60,State-gov,Associate,Widowed,System Admin,Black,Male,1846,85,42,India,>50K,6,"Networking, Shell Scripting, AWS",652138
59,Self-emp-inc,PhD,Separated,AI Engineer,Black,Other,4134,444,46,India,<=50K,6,"PyTorch, TensorFlow, Python",1358220
46,State-gov,PhD,Separated,System Admin,Other,Male,8055,983,47,Australia,<=50K,7,"Linux, Docker, AWS",627154
25,Private,PhD,Never-married,Software Developer,Amer-Indian-Eskimo,Female,9307,1968,35,India,<=50K,6,"C++, Spring, Python",933296
26,Self-emp-inc,HS-grad,Never-married,Software Developer,White,Male,4948,290,38,Germany,>50K,6,"Java, Git, C++",894320
22,Private,Bachelors,Married-civ-spouse,Business Analyst,Other,Other,9133,559,38,India,>50K,15,"Excel, SQL, Problem Solving",932025
47,State-gov,HS-grad,Never-married,AI Engineer,Amer-Indian-Eskimo,Female,7630,844,35,India,>50K,1,"Python, TensorFlow, NLP",1219226
52,Self-emp-not-inc,PhD,Never-married,Software Developer,Black,Male,7339,1659,30,China,<=50K,18,"Spring, Git, Java",1007882
40,Self-emp-inc,Bachelors,Widowed,Web Developer,Amer-Indian-Eskimo,Female,8922,335,41,China,>50K,17,"Node.js, CSS, React",963171
48,Self-emp-not-inc,Some-college,Separated,Web Developer,Amer-Indian-Eskimo,Female,4791,302,56,China,>50K,15,"Node.js, React, CSS",962190
27,Local-gov,PhD,Married-civ-spouse,Web Developer,Asian-Pac-Islander,Other,7644,923,54,Australia,>50K,5,"HTML, JavaScript, React",673765
60,Self-emp-inc,Some-college,Married-civ-spouse,Data Scientist,Black,Other,6493,167,56,Germany,>50K,16,"Statistics, Python, SQL",1314416
58,Private,PhD,Widowed,Data Scientist,Black,Other,5486,1001,33,Canada,>50K,11,"Statistics, Machine Learning, SQL",1351581
36,Local-gov,PhD,Separated,ML Engineer,Black,Other,7432,318,56,China,>50K,6,"Python, MLflow, Scikit-learn",1088380
26,State-gov,PhD,Married-civ-spouse,System Admin,Asian-Pac-Islander,Male,8879,1307,33,United States,<=50K,0,"Shell Scripting, Linux, AWS",550000
26,Private,PhD,Separated,ML Engineer,Amer-Indian-Eskimo,Female,6602,21,52,Australia,<=50K,12,"XGBoost, Scikit-learn, Pandas",1288492
59,Federal-gov,Associate,Widowed,AI Engineer,Amer-Indian-Eskimo,Male,8191,654,41,India,<=50K,15,"NLP, Python, PyTorch",1638570
44,State-gov,HS-grad,Never-married,System Admin,White,Female,1422,972,38,Australia,<=50K,7,"Linux, AWS, Networking",697385
37,Local-gov,HS-grad,Never-married,Web Developer,Asian-Pac-Islander,Other,7392,443,49,Germany,<=50K,4,"Node.js, HTML, JavaScript",698252
26,Local-gov,Masters,Separated,Software Developer,Other,Female,8776,1338,53,India,<=50K,3,"Git, Spring, Java",874406
40,Self-emp-not-inc,Bachelors,Divorced,Web Developer,Amer-Indian-Eskimo,Male,2536,1983,56,India,<=50K,15,"CSS, HTML, Node.js",836805
46,Private,PhD,Married-civ-spouse,Data Analyst,Asian-Pac-Islander,Other,9561,1731,45,United States,>50K,3,"SQL, Excel, Python",742975
60,Local-gov,Bachelors,Separated,Business Analyst,Asian-Pac-Islander,Other,7044,42,52,Australia,>50K,11,"Problem Solving, Excel, SQL",1030720
24,Self-emp-inc,HS-grad,Widowed,System Admin,White,Male,1429,538,58,China,<=50K,12,"Docker, Networking, Linux",717580
23,Self-emp-not-inc,Bachelors,Widowed,Data Scientist,Black,Female,8944,764,47,Canada,>50K,5,"Statistics, Machine Learning, Python",1241695
24,Self-emp-not-inc,Masters,Married-civ-spouse,Software Developer,Black,Other,6401,22,41,India,>50K,0,"Java, Python, Spring",800000
22,Self-emp-inc,Masters,Divorced,Data Analyst,Amer-Indian-Eskimo,Male,3091,1359,45,Germany,>50K,3,"Excel, Tableau, Power BI",783220
26,Self-emp-not-inc,Associate,Married-civ-spouse,Data Scientist,White,Female,8411,148,48,United States,<=50K,13,"SQL, R, Machine Learning",1403108
25,Federal-gov,Bachelors,Divorced,System Admin,White,Male,6122,800,44,Australia,>50K,7,"Networking, AWS, Shell Scripting",736872
48,State-gov,Associate,Married-civ-spouse,Data Analyst,Other,Other,4712,1018,54,India,>50K,0,"Tableau, SQL, Power BI",700000
31,State-gov,Bachelors,Divorced,Software Developer,Amer-Indian-Eskimo,Female,7610,1331,55,Canada,<=50K,17,"Git, Python, C++",1231766
54,Federal-gov,HS-grad,Widowed,Data Scientist,Amer-Indian-Eskimo,Female,1490,1416,45,Canada,>50K,19,"Python, SQL, Machine Learning",1456972
39,Self-emp-inc,Some-college,Widowed,Data Analyst,Asian-Pac-Islander,Female,3922,1159,36,Canada,>50K,6,"Power BI, Tableau, Excel",811882
60,Federal-gov,Associate,Married-civ-spouse,Data Scientist,Asian-Pac-Islander,Male,5922,1459,47,Australia,<=50K,14,"Statistics, R, Python",1373700
37,Self-emp-not-inc,Some-college,Divorced,Data Scientist,Amer-Indian-Eskimo,Female,4024,802,45,China,<=50K,18,"Machine Learning, SQL, Python",1430228
60,Private,PhD,Never-married,System Admin,Other,Female,53,136,36,Canada,>50K,14,"Docker, Shell Scripting, AWS",950316
48,Self-emp-not-inc,PhD,Never-married,System Admin,Amer-Indian-Eskimo,Other,1770,975,43,Germany,<=50K,4,"Networking, Linux, Docker",597140
24,Private,PhD,Never-married,Software Developer,Black,Male,6934,419,31,China,>50K,0,"Java, Python, Spring",800000
40,Federal-gov,Masters,Married-civ-spouse,Data Analyst,Other,Other,9348,1539,38,Australia,<=50K,7,"Excel, SQL, Power BI",903980
42,Self-emp-not-inc,Masters,Separated,Data Analyst,Other,Other,285,1954,35,India,>50K,19,"Power BI, Tableau, SQL",949565
37,Federal-gov,Masters,Married-civ-spouse,Business Analyst,Other,Male,2843,1879,37,Canada,<=50K,7,"Power BI, Presentation, Problem Solving",957557
46,Federal-gov,Masters,Married-civ-spouse,ML Engineer,White,Female,7276,906,34,China,>50K,19,"Pandas, Python, XGBoost",1359157
35,State-gov,HS-grad,Separated,Web Developer,Asian-Pac-Islander,Male,8176,1039,49,Germany,>50K,19,"CSS, JavaScript, HTML",838146
60,State-gov,Associate,Separated,Data Scientist,Amer-Indian-Eskimo,Male,3570,643,41,Germany,<=50K,9,"R, Machine Learning, SQL",1328519
23,State-gov,Some-college,Married-civ-spouse,ML Engineer,Amer-Indian-Eskimo,Other,358,796,48,Canada,<=50K,0,"Pandas, MLflow, XGBoost",1000000
49,Private,HS-grad,Divorced,Web Developer,Black,Female,6006,1866,38,Germany,<=50K,7,"Node.js, CSS, HTML",757493
45,Private,Masters,Never-married,Data Scientist,White,Other,9057,102,38,India,>50K,8,"Machine Learning, R, Statistics",1217128
49,Self-emp-inc,Masters,Married-civ-spouse,System Admin,Asian-Pac-Islander,Male,8528,136,37,India,>50K,18,"Networking, Shell Scripting, AWS",1007362
49,Self-emp-not-inc,Masters,Never-married,Data Analyst,Other,Other,1262,137,54,India,<=50K,5,"Python, SQL, Excel",840675
45,State-gov,Masters,Married-civ-spouse,Data Scientist,Black,Male,5332,1751,35,Canada,>50K,0,"Statistics, Python, R",1100000
32,Private,HS-grad,Married-civ-spouse,Data Scientist,Black,Other,6016,1175,55,Canada,>50K,14,"R, Python, SQL",1353862
32,State-gov,Some-college,Never-married,ML Engineer,Amer-Indian-Eskimo,Male,9,588,44,Australia,>50K,12,"MLflow, Pandas, XGBoost",1303480
55,Self-emp-inc,Some-college,Widowed,System Admin,Asian-Pac-Islander,Other,6679,341,46,Germany,<=50K,1,"Networking, Linux, Shell Scripting",572042
